科目,每股净资产(元/股),期末现金及现金等价物余额(元),投资支付的现金(元),构建固定资产、无形资产和其他长期资产支付的现金(元),取得借款收到的现金(元),吸收投资收到的现金(元),销售商品、提供劳务收到的现金(元),资产负债率(%),每股收益-基本(元/股),每股收益-稀释(元/股),销售毛利率(%),筹资活动产生的现金流量净额(元),投资活动产生的现金流量净额(元),经营活动产生的现金流量净额(元),现金及现金等价物净增加额(元),扣除非经常性损益后净利润(元),净利润（不含少数股东损益）(元),销售净利率(%),营业利润(元),研发费用(元),ROE-扣非(),ROE-摊薄(),资产总计(元),负债合计(元),营业总成本(元),营业总收入(元),利润总额(元),股东权益合计（不含少数股东权益）(元),以摊余成本计量的金融资产终止确认收益(元),资产处置收益(元),提取保险责任准备金(元),持续经营净利润(元),信用减值损失(元),保户红利支出(元),终止经营净利润(元),减：利息收入(元),手续费及佣金收入(元),其中：减：非流动资产处置净损失(元),所得税(元),其中：对联营企业和合营企业的投资收益(元),已赚保费(元),利息收入(元),财务费用(元),管理费用(元),减：手续费及佣金支出(元),资产减值损失(元),减：利息支出(元),减：营业外支出(元),减：营业成本(元),销售费用(元),减：营业税金及附加(元),少数股东损益(元),净敞口套期收益(元),扣除非经常性损益后净利润(元),净利润（不含少数股东损益）(元),净利润（含少数股东损益）(元),国际会计准则净利润(元),营业利润(元),营业收入(元),其他业务成本(元),加：其他综合收益(元),其他收益(元),加：公允价值变动净收益(元),加：汇兑净收益(元),加：投资净收益(元),加：营业外收入(元),退保金(元),研发费用(元),分保费用(元),其中：利息费用(元),赔付总支出(元),综合收益总额(元),归属于少数股东的综合收益总额(元),归属于母公司普通股东综合收益总额(元),营业总成本(元),营业总收入(元),利润总额(元),未确认投资损失(元),预提费用(元),应付账款(元),应收账款(元),代理买卖证券款(元),代理承销证券款(元),预收款项(元),应付债券(元),向中央银行借款(元),资本公积(元),股本(元),外币报表折算差额(元),在建工程(元),在建工程合计(元),消耗性生物资产(元),合同资产(元),合同负债(元),债权投资(元),待摊费用(元),递延收益(元),递延收益-非流动负债(元),递延所得税资产(元),递延所得税负债(元),吸收存款及同业存放(元),衍生金融资产(元),衍生金融负债(元),应付股利(元),应收股利(元),应付职工薪酬(元),以摊余成本计量的金融资产(元),以公允价值计量且变动计入其他综合收益的金融资产(元),可供出售的金融资产(元),固定资产(元),固定资产清理(元),固定资产合计(元),卖出回购金融资产款(元),商誉(元),应付手续费及佣金(元),持有至到期投资(元),持有待售的资产(元),持有待售负债(元),应付利息(元),应收利息(元),无形资产(元),存货(元),投资性房地产(元),减：库存股(元),发放贷款及垫款(元),拆入资金(元),拆出资金(元),长期待摊费用(元),长期股权投资(元),长期应收款(元),长期借款(元),长期应付款(元),长期应付款合计(元),长期应付职工薪酬(元),少数股东权益(元),货币资金(元),一年内到期非流动资产(元),一年内到期的非流动负债(元),应付票据(元),应收票据(元),油气资源(元),其他流动资产(元),其他流动负债(元),其他债权投资(元),其他权益工具(元),优先股(元),其他金融类流动资产(元),其他金融类流动负债(元),其他非流动金融资产(元),其他非流动资产(元),其他非流动负债(元),其他应付款(元),其他应付款合计(元),其他应收款(元),其他应收款合计(元),永续债(元),其他综合收益(元),应付分保账款(元),应付票据及应付账款(元),预付款项(元),应收保费(元),生产性生物资源(元),工程物资(元),一般风险准备(元),预计负债(元),应收分保合同准备金(元),应收分保账款(元),开发支出(元),应收票据及应收账款(元),应收款项融资(元),买入返售金融资产(元),使用权资产(元),保险合同准备金(元),结算备付金(元),专项储备(元),专项应付款(元),应付短期债券(元),短期借款(元),盈余公积金(元),应交税费(元),资产总计(元),流动资产合计(元),流动负债合计(元),负债合计(元),负债及股东权益合计(元),非流动资产合计(元),非流动负债合计(元),股东权益合计（不含少数股东权益）(元),股东权益合计（含少数股东权益)(元),交易性金融资产(元),交易性金融负债(元),未确认的投资损失(元),未分配利润(元),期初现金及现金等价物余额(元),期末现金及现金等价物余额(元),投资支付的现金(元),构建固定资产、无形资产和其他长期资产支付的现金(元),支付给职工以及为职工支付的现金(元),支付原保险合同赔付款项的现金(元),分配股利、利润或偿付利息支付的现金(元),购买商品、接受劳务支付的现金(元),偿还债务支付的现金(元),取得借款收到的现金(元),吸收投资收到的现金(元),收回投资收到的现金(元),收到原保险合同保费取得的现金(元),取得投资收益收到的现金(元),销售商品、提供劳务收到的现金(元),支付保单红利的现金(元),汇率变动对现金的影响(元),经营活动现金流入(金融类)(元),经营活动现金流出(金融类)(元),企业自由现金流(FCFF)(元),支付手续费的现金(元),其中：子公司吸收少数股东投资收到的现金(元),其中：子公司支付给少数股东的股利、利润(元),筹资活动产生的现金流量净额(元),投资活动产生的现金流量净额(元),经营活动产生的现金流量净额(元),取得子公司及其他营业单位支付的现金净额(元),收到再保业务现金净额(元),处置固定资产、无形资产和其他长期资产收回的现金净额(元),处置子公司及其他营业单位收到的现金净额(元),现金及现金等价物净增加额(元),客户贷款及垫款净增加额(元),存放央行和同业款项净增加额(元),客户存款和同业存放款项净增加额(元),处置交易性金融资产净增加额(元),向其他金融机构拆入资金净增加额(元),保户储金净增加额(元),收取利息和手续费净增加额(元),向中央银行借款净增加额(元),拆入资金净增加额(元),回购业务资金净增加额(元),支付其他与筹资活动有关的现金(元),支付其他与投资活动有关的现金(元),支付其他与经营活动有关的现金(元),收到其他与筹资活动有关的现金(元),收到其他与投资活动有关的现金(元),收到其他与经营活动有关的现金(元),支付的各项税费(元),发行债券收到的现金(元),收到的税费返还(元),筹资活动现金流入小计(元),投资活动现金流入小计(元),经营活动现金流入小计(元),筹资活动现金流出小计(元),投资活动现金流出小计(元),经营活动现金流出小计(元)
20221231_累计,12.57,9802092657,12812669124,1526766109,8870222960,15000000,38113475847,67.97,2.42,2.42,24.55,1746717463,345555316.4,1210498486,3242092864,3385797303,3593410009,9.18,4141144503,,20.94,19.25,61626211527,41889216326,,40257239155,4133961610,18666305390,,-1741000.52,,3695435858,,,,-77821870.16,,,438525751.7,-2286676.64,,,-477244161.3,612314748.8,,,,16339008.39,30375806550,3169263473,142614456.4,102025849.1,,3385797303,3593410009,3695435858,,4141144503,40257239155,127527419.5,-7899020.61,220935253.1,-29610984.47,,40338523.02,9156115.54,,,,209088016.9,,3687536838,100425914.8,3587110923,,40257239155,4133961610,,,13423788673,13804040263,,,,,,7052840543,1485190984,,1188671605,1188671605,,1291527303,3788439560,,,,166799167.2,1024759728,13401614.14,,,1027953.77,,27389502.93,647136521.7,,,,4543555993,,4543555993,,,,,,,,,340374616.4,19060142585,,520749625.7,,,,98761004.79,228278242.4,352460000,4161650000,596102307.8,596102307.8,,1070689811,11666601491,53713000,809879585.7,12502200529,1086866640,,947593110.2,1219596256,,,,,,303677643,992247656.3,39610000,760375319.2,,1144424132,1171813635,,-30520376.52,,25925989201,382891914.7,,,,,1012055994,,,,14890906903,1038041498,,559699600.8,,,,,,1422187421,1066201018,842046338.3,61626211527,51993725437,35468598131,41889216326,61626211527,9632486090,6420618195,18666305390,19736995201,1490493997,51919973.63,,9613342848,6559999793,9802092657,12812669124,1526766109,2905936663,,351615275.8,32223692792,5678221694,8870222960,15000000,14661894272,,13728203.53,38113475847,,-60678401.58,,,,,15000000,,1746717463,345555316.4,1210498486,,,9368073.62,,3242092864,,,,,,,,,,,2173420468,,2435731091,1064751941,,636129354.2,1983956957,,2010210788,9949974901,,40759815989,8203257438,14339435233,39549317503
20221231_同比,,149.42%,193.98%,91.66%,325.23%,0.36%,167.55%,,,,,33.73%,,,,253.70%,227.04%,,218.23%,,,,43.85%,60.27%,,166.79%,218.42%,19.23%,,-488.07%,,116.87%,,,,,,,132.42%,-124.49%,,,-268.48%,24.69%,,,,-25.81%,61.87%,100.26%,72.90%,-15.88%,,153.70%,127.04%,116.87%,,118.23%,66.79%,1225.95%,,18.59%,-144.57%,,-88.64%,-46.52%,,,,68.47%,,117.66%,-17.20%,128.06%,,66.79%,118.42%,,,36.63%,57.79%,,,,,,1.34%,0.00%,,180.14%,180.14%,,-5.34%,121.04%,,,,17.90%,60.51%,-5.14%,,,,,,69.85%,,,,7.01%,,7.01%,,,,,,,,,95.19%,77.02%,,3341.03%,,,,316.78%,98.23%,65.44%,120.02%,961.50%,961.50%,,2.11%,49.76%,-28.88%,294.35%,57.46%,38.57%,,5.83%,34.32%,,,,,,659.03%,216.73%,,51.80%,,20.90%,23.79%,,,,45.94%,6.41%,,,,,318.04%,,,,56.21%,36.10%,,62.52%,,,,,,-6.72%,48.78%,65.51%,43.85%,43.20%,50.88%,60.27%,43.85%,47.45%,144.21%,19.23%,18.16%,-60.91%,,,47.15%,-2.85%,49.42%,93.98%,-8.34%,64.78%,,10.15%,50.13%,318.40%,225.23%,-99.64%,233.28%,,-90.34%,67.55%,,,,,,,-99.64%,,-66.27%,,,,,-22.90%,,,,,,,,,,,,,1640.55%,,50.72%,1339.79%,,23.52%,133.92%,,154.18%,42.55%,,69.46%,355.43%,73.38%,53.94%
20221231_环比,,178.37%,129.94%,146.06%,150.62%,100.85%,167.04%,,,,,80.24%,,,,177.99%,174.39%,,170.08%,,,,10.89%,11.89%,,181.14%,168.83%,9.24%,,,,73.64%,,,,,,,,,,,,33.36%,,,,20.59%,83.11%,77.58%,117.42%,50.80%,,77.99%,74.39%,73.64%,,70.08%,81.14%,,,28.47%,,,-45.02%,-66.35%,,,,52.79%,,74.68%,48.44%,75.55%,,81.14%,68.83%,,,14.35%,31.50%,,,,,,0.46%,,,,138.82%,,0.88%,23.43%,,,,-2.48%,41.19%,-24.94%,,,,,,62.80%,,,,,,,,,,,,,,,2.76%,-8.23%,,-0.63%,,,,254.97%,30.75%,-10.98%,-3.74%,,361.69%,,1.94%,62.66%,,245.68%,0.23%,72.59%,,-14.99%,89.42%,,,,,,274.26%,48.82%,,,,,,,,,7.07%,-62.22%,,,,,124.61%,,,,33.83%,-4.78%,,-6.04%,,,,,,-33.00%,48.78%,78.29%,10.89%,9.28%,11.41%,11.89%,10.89%,20.44%,14.66%,9.24%,8.82%,-49.31%,,,14.04%,,78.37%,29.94%,46.06%,49.07%,,23.08%,42.40%,101.55%,50.62%,0.85%,40.10%,,-81.77%,67.04%,,-249.52%,,,,,0.85%,,-19.76%,,,,,217.62%,,,,,,,,,,,,,238.41%,,19.55%,5743.83%,,-2.11%,52.99%,,29.84%,68.02%,,62.94%,119.03%,31.21%,41.69%
20221231_单季,,4306839248,2952188559,481482771.4,2981242580,126237.94,15296008972,,,,,-430165861.4,731095551.6,4107171011,4306839248,1483567058,1532844054,,1706268661,,,,,,,18033301669,1685421939,,,-1375607.17,,1567214670,,,,-29871483.5,,,438525751.7,-1921856.69,,,48245608.2,153158405.8,,,,2789532.27,13787405149,1384617406,77019222.25,34370615.65,,1483567058,1532844054,1567214670,,1706268661,18033301669,127527419.5,9287985.31,48961814.7,176436945.2,,-33028394.84,-18057189.3,,,,72241477.99,,1576502655,32770681.44,1543731974,,18033301669,1685421939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4306839248,2952188559,481482771.4,956582493.7,,65923742.9,9595126482,2860970532,2981242580,126237.94,4196786406,,-61566319.29,15296008972,,-101261453.8,,,,,126237.94,,-430165861.4,731095551.6,4107171011,-23128188.98,,6418605.78,,4306839248,,,,,,,,,,,1531172251,,398268685.1,1046531846,,-13742558.16,687128309.9,,462010568.5,4027900664,,15744276982,4458066526,3410543141,11637105971
20221231_单季同比,,552.82%,243.28%,81.43%,258.54%,0.34%,180.56%,,,,,-65.89%,-34.58%,185.33%,552.82%,-1264.02%,1966.88%,,2740.29%,,,,-100.00%,-100.00%,,205.79%,3069.09%,-100.00%,,-406.62%,,1504.69%,,,,39.49%,,,132.42%,1789.21%,,,-54.39%,34.80%,,,,-67.54%,81.23%,92.09%,157.13%,74.19%,,-1364.02%,1866.88%,1504.69%,,2640.29%,105.79%,1225.95%,357.27%,-46.05%,442.74%,,-111.57%,-1553.11%,,,,62.46%,,1481.32%,66.08%,1830.54%,,105.79%,2969.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452.82%,143.28%,-18.57%,99.93%,,87.31%,49.98%,465.23%,158.54%,-99.66%,-993.49%,,-146.30%,80.56%,,-514.51%,,,,,,,-165.89%,-134.58%,85.33%,75.34%,,-36.00%,,452.82%,,,,,,,,,,,2544.04%,,-332.83%,1587.32%,,-108.48%,-9170.47%,,65.01%,221.68%,,76.63%,643.92%,90.37%,73.75%
20221231_单季环比,,-571.72%,78.83%,111.79%,144.49%,0.85%,163.88%,,,,,-32.44%,-156.72%,-250.81%,-571.72%,134.04%,132.13%,,126.24%,,,,-100.00%,-100.00%,,181.37%,124.80%,-100.00%,,222.75%,,32.11%,,,,52.72%,,,-380.82%,-1837.17%,,,-112.61%,-3.44%,,,,-55.25%,85.23%,107.53%,110.15%,31.15%,,34.04%,32.13%,32.11%,,26.24%,81.37%,-211.03%,-24.54%,-20.05%,-206.11%,,-2430.36%,-454.85%,,,,36.34%,,31.52%,25.04%,31.67%,,81.37%,24.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-671.72%,-21.17%,11.79%,47.73%,,33.05%,-1.26%,309.79%,44.49%,-99.15%,13.23%,,-4756.48%,63.88%,,-511.72%,,,,,,,-132.44%,-256.72%,-350.81%,-4894.11%,,547.04%,,-671.72%,,,,,,,,,,,35280.85%,,-55.89%,25556233.24%,,-104.01%,47.51%,,10.07%,93.82%,,55.94%,492.80%,-18.33%,-0.83%
20211231_累计,10.54,6559999793,6604988709,1665649098,2727391964,4178537220,22746962796,61.01,1.08,1.08,22.25,5178655622,-3713209336,-1638632123,-192686946,1334589366,1582707375,7.06,1897577353,,12.12,10.11,42840130915,26136452867,,24136598727,1892672136,15655063486,,448633.2,,1703994571,,,,-62999892.35,,,188677565.3,9335376.24,,,283256851.6,491053482.8,,,,22024546.89,18765234741,1582578297,82485943.84,121287196.2,,1334589366,1582707375,1703994571,,1897577353,24136598727,9617808.27,-9833344.8,186298661.2,66438296.41,,354966135.6,17119329.76,,,,124111368.7,,1694161226,121287196.2,1572874030,,24136598727,1892672136,,,9824886817,8748141498,,,,,,6959695649,1485215984,,424310899.3,424310899.3,,1364393136,1713946572,,,,141475530.7,638432375.3,14127384.33,,,,,,380993967,,,,4245993353,,4245993353,,,,,,,,,174385023.7,10767519366,,15133520,,,,23696359.28,115159366.4,213044303.4,1891445000,56156864.1,56156864.1,,1048614563,7790144016,75528337.39,205372932.3,7939950795,784339002.7,,895355467.2,907970842.6,,,,,,40008527.59,313281445.2,,500890674.5,,946579893.5,946579893.5,,-24221290.12,,17764837612,359819409.5,,,,,242096475.5,,,,9532480500,762715906.6,,344386440.7,,,,,,1524580849,716612746,508768582.4,42840130915,36307432822,23507362032,26136452867,42840130915,6532698094,2629090834,15655063486,16703678049,3812896789,,,6532893917,6752686739,6559999793,6604988709,1665649098,1763505472,,319225674.3,21463759761,1357130322,2727391964,4178537220,4399319692,,142090826,22746962796,,-19501109.58,,,,,,,5178655622,-3713209336,-1638632123,,,12149964.76,3814295,-192686946,,,,,,,,,,,124869565.1,,1616051518,73952000,53694.23,514988997.9,848134227.1,,790867061.2,6979881184,,24052818856,1801225562,8270637807,25691450978
20211231_同比,,97.15%,2697.57%,173.34%,312.93%,5483.05%,116.82%,,,,,,,-53.05%,-7.10%,72.28%,80.99%,,87.51%,,,,52.98%,52.50%,,125.15%,86.76%,49.72%,,75.87%,,-13.74%,,,,,,,-8.42%,487.71%,,,8.43%,23.97%,,,,-1.78%,26.48%,62.58%,31.12%,471.92%,,-27.72%,-19.01%,-13.74%,,-12.49%,25.15%,,,18.02%,3380.09%,,161.81%,-51.94%,,,,27.13%,,-13.95%,471.92%,-19.24%,,25.15%,-13.24%,,,46.52%,32.84%,,,,,,116.25%,1.92%,,100.39%,100.39%,,40.35%,21.73%,,,,4.07%,77.60%,-3.76%,,,,,,46.54%,,,,31.01%,,31.01%,,,,,,,,,35.23%,177.98%,,-80.12%,,,,-29.84%,-71.66%,1.08%,6.19%,-5.50%,-5.50%,,156.52%,5.02%,-4.19%,-21.22%,47.41%,-3.77%,,197.09%,191.01%,,,,,,-72.66%,2641.79%,,114.30%,,18.42%,18.42%,,,,46.91%,17.19%,,,,,102.50%,,,,28.81%,-46.66%,,,,,,,,1028.27%,20.67%,56.14%,52.98%,56.14%,56.43%,52.50%,52.98%,37.53%,24.55%,49.72%,53.74%,466.51%,,,23.80%,67.13%,-2.85%,2597.57%,73.34%,47.57%,,60.65%,52.02%,44.77%,212.93%,5383.05%,329.12%,,6.04%,16.82%,,,,,,,5383.05%,,,,-153.05%,,,52.74%,,-107.10%,,,,,,,,,,,948.82%,,26.92%,961.23%,,19.01%,52.59%,,142.51%,631.07%,,18.89%,56.89%,545.66%,49.87%
20211231_环比,,113.48%,122.51%,155.03%,173.24%,100.89%,159.34%,,,,,114.43%,,,,91.92%,105.18%,,103.39%,,,,13.69%,23.05%,,157.00%,102.99%,1.17%,,,,6.08%,,,,,,,,-1.08%,,,59.60%,30.10%,,,,63.97%,68.18%,83.65%,57.02%,19.43%,,-8.08%,5.18%,6.08%,,3.39%,57.00%,,,95.00%,95.81%,,410.00%,7.83%,,,,55.83%,,6.25%,19.43%,5.36%,,57.00%,2.99%,,,37.47%,2.33%,,,,,,1.37%,,,,81.33%,,-30.50%,-7.63%,,,,-32.73%,66.69%,16.42%,,,,,,77.04%,,,,,,,,,,,,,,,5.76%,15.00%,,-18.82%,,,,-23.62%,-59.73%,-9.25%,12.59%,,0.34%,,8.49%,14.83%,-4.19%,-52.51%,7.22%,72.75%,,46.27%,148.91%,,,,,,-80.25%,-24.09%,,,,,,,,,22.07%,-46.16%,,,,,9.83%,,,,5.88%,-17.13%,,55.18%,,,,,,79.30%,20.67%,395.55%,13.69%,14.15%,24.63%,23.05%,13.69%,11.20%,10.49%,1.17%,1.60%,148.29%,,,-0.63%,0.00%,13.48%,22.51%,55.03%,37.23%,,12.39%,42.46%,59.48%,73.24%,0.89%,-9.65%,,1458.48%,59.34%,,,,,,,0.89%,,14.43%,,,,,472.81%,,,,,,,,,,,,,86.49%,,-9.57%,519.96%,,45.90%,-0.89%,,54.81%,21.86%,,58.88%,49.86%,27.65%,35.26%
20211231_单季,,779071867.8,1213502676,591257970.4,1153088159,37047216.12,8471609830,,,,,652892735.2,-2114408768,2216158999,779071868,-117369222.9,77932729.01,,62265905.64,,,,,,,8762942863,54916092.86,,,448633.2,,97664506.32,,,,-21414024.99,,,188677565.3,-101728.15,,,105782251.3,113615523,,,,8592470.32,7607722940,720832144,29953669.11,19731777.31,,-117369222.9,77932729.01,97664506.32,,62265905.64,8762942863,9617808.27,2031161.08,90761587.33,32508761.68,,285364671.1,1242657.54,,,,44466699.14,,99695667.4,19731777.31,79963890.09,,8762942863,54916092.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.27,779071867.8,1213502676,591257970.4,478454693.4,,35195737.3,6397624999,506159995.4,1153088159,37047216.12,-469708782.4,,132973565,8471609830,,24428900.42,,,,,37047216.12,,652892735.2,-2114408768,2216158999,-13190254,,10028853.76,3814295,779071868,,,,,,,,,,,57910389.09,,-171054108.4,62023482,53694.23,162005332.9,-7575446.89,,279993974.2,1252158857,,8913609137,599266121.8,1791570392,6697450137
